id,title,overview,genre_ids,vote_average,poster_path
724089,Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?","[10749, 18]",8.379,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg
1136867,Materialists,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.","[10749, 18]",6.903,/eDo0pNruy0Qgj6BdTyHIR4cxHY8.jpg
1243341,Z-O-M-B-I-E-S 4: Dawn of the Vampires,"A new adventure dawns for Zed and Addison when their summer road trip takes an unexpected detour, landing them in the middle of yet another monster rivalry: Daywalkers vs. Vampires. Tensions flare when Zed and Addison find themselves acting as camp counselors between the two opposing supernatural factions. With the help of Eliza and Willa, they must convince sworn enemies Nova and Victor to try to unite their warring worlds before an even greater threat endangers them all.","[10402, 12, 10749, 35, 10751]",7.0,/6rGsqBxI4r1YkS9FuraovWi465w.jpg
1233413,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","[27, 28, 53]",7.6,/4CkZl1LK6a5rXBqJB2ZP77h3N5i.jpg
1278950,The Ritual,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.","[27, 18, 53]",6.0,/ktqPs5QyuF8SpKnipvVHb3fwD8d.jpg
1236197,Follow,"Sebastián, a charismatic con artist who seduces women to steal their money, puts his retirement plans on hold after the sudden appearance of Carolina, an enigmatic woman who will expose him to the greatest danger of his career.","[53, 18, 10749]",8.5,/uOQCP7RB97H2r8QELb4jaunWzNb.jpg
1083433,I Know What You Did Last Summer,"When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge.","[27, 9648, 53]",5.945,/A06yXys3hrCWu8xiNoHCFLTG5SH.jpg
1403735,Laila,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot","[35, 10749]",5.8,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg
1103731,In Vitro,"On an isolated cattle farm, a couple experimenting with biotechnology have their lives upended when they discover a disturbing presence on their property.","[27, 878, 53]",8.2,/oADha0l3dCm68rQfFL2AvZPs8pl.jpg
1425045,Brick,"When a mysterious brick wall encloses their apartment building overnight, Tim and Olivia must unite with their wary neighbors to get out alive.","[53, 878]",5.8,/vTX9CxFNEQOlfXsgqec7xmc5UtD.jpg
605722,Long Distance,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.","[878, 35, 28]",6.342,/m5NKltgQqqyoWJNuK18IqEGRG7J.jpg
1257586,The Hangman,"Troubled father Leon takes son camping in Appalachia. Local cult summons evil Hangman demon. Son goes missing. Leon must confront cult, monster to find him amid rising body count.","[27, 53]",5.957,/rij9Eh4RVXyPet8A1BNU8pDvtmu.jpg
1100988,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.","[27, 53, 878]",7.141,/giAiJSwOJcfA8Y4PCNMGAhfTSyA.jpg
1010581,My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","[10749, 18]",7.8,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
